,canal,capturas_tarjetas,aprobacion_tarjetas,tarjetas,capturas_creditos,aprobacion_creditos,cantidad_creditos,monto_creditos,seguros,trafico_transaccional,trafico_clientes,aprovechamiento_de_trafico,contribucion,cluster
39,305044,189.75,0.23451,39.75,92.0,0.0236,4.0,14.80313,41.5,131253.5,92636.0,0.00299,896.62142,0
40,305045,236.75,0.27033,56.5,52.5,0.01675,3.5,9.89892,57.0,178258.75,120867.25,0.00233,1392.65653,0
41,305046,124.75,0.19789,23.5,44.0,0.02316,2.75,6.92625,41.75,60713.0,37286.75,0.00444,581.07393,0
42,305047,321.25,0.18412,52.75,152.25,0.03229,9.25,28.14886,101.25,91532.25,54000.25,0.00861,577.94183,0
43,305049,136.75,0.27921,35.25,38.0,0.03168,4.0,8.71514,39.75,81613.0,54274.25,0.0031,99.07538,0
44,305052,121.0,0.2044,23.25,25.0,0.02198,2.5,8.03083,7.5,54233.25,34733.75,0.00405,135.68762,0
45,305053,353.5,0.20684,66.5,100.25,0.021,6.75,17.88521,35.5,69090.0,43970.25,0.01018,548.92443,0
46,305054,225.75,0.28419,59.75,51.0,0.01427,3.0,11.45623,29.5,106470.0,70166.75,0.00384,1025.57117,0
47,305055,761.25,0.17655,125.0,205.25,0.02719,19.25,60.83788,275.5,73464.5,42675.75,0.02226,1232.54877,2
48,305056,409.0,0.22888,86.0,173.0,0.02861,10.75,29.79715,99.75,90851.5,54980.25,0.01039,603.20838,0
49,305057,907.0,0.17758,147.75,275.25,0.04056,33.75,87.09716,242.75,120933.25,72782.0,0.01596,1113.80004,2
50,305058,599.75,0.13197,72.75,149.0,0.02585,14.25,40.19767,70.25,76312.75,47482.0,0.01567,611.36781,0
51,305059,122.25,0.20136,22.25,54.25,0.02489,2.75,8.33701,22.5,55473.25,34462.0,0.00502,559.2286,0
52,305060,355.5,0.18558,60.5,148.25,0.01457,4.75,18.80995,88.0,93965.75,56633.75,0.00874,280.19659,0
53,305061,563.5,0.14523,78.75,339.75,0.02628,14.25,49.64271,199.75,88073.0,52083.0,0.01704,875.75834,2
54,305066,397.75,0.10132,38.25,159.25,0.01457,5.5,17.98709,97.5,61859.5,36958.25,0.0149,374.23575,0
55,305067,358.5,0.15886,51.75,200.75,0.07368,24.0,57.84302,59.25,55109.0,32305.5,0.0172,694.02471,0
56,305068,1089.25,0.13684,141.25,370.75,0.01865,19.25,58.91371,271.0,131791.5,82975.75,0.01733,1202.21686,2
57,305074,314.5,0.08802,27.0,161.5,0.01956,6.0,21.80436,112.25,64965.25,31426.0,0.01496,556.55751,0
58,305076,281.0,0.1342,36.0,128.25,0.01771,4.75,13.506,127.25,54965.0,26805.0,0.01489,854.76007,0
59,305078,391.75,0.22169,80.75,164.0,0.0302,11.0,30.33626,85.75,54226.75,34732.75,0.01581,487.80863,0
60,305082,322.0,0.17983,53.5,104.0,0.04034,12.0,25.31168,31.25,29295.0,15287.75,0.02739,504.83727,0
61,305083,192.0,0.19693,35.25,76.5,0.0405,7.25,28.26913,90.5,45595.75,26105.75,0.00997,302.41352,0
62,305087,314.5,0.1634,48.0,173.25,0.04426,13.0,38.02238,110.0,63064.5,33647.0,0.01433,676.84505,0
63,305088,237.0,0.16469,34.75,115.25,0.03081,6.5,14.50625,11.0,30496.5,14758.5,0.02365,111.63719,0
64,305842,404.75,0.186,69.75,170.0,0.07067,26.5,59.70256,57.0,57233.5,32835.0,0.02043,683.9461,0
65,305878,371.5,0.20878,72.5,116.5,0.04176,14.5,34.31929,61.75,51064.25,33676.0,0.01428,529.82944,0
66,305950,360.25,0.25076,82.0,188.75,0.08486,27.75,60.50394,91.5,33849.25,19913.0,0.02727,455.85824,2
67,305988,217.75,0.14957,30.25,79.25,0.04326,8.75,20.55938,40.25,51983.5,30807.5,0.01008,550.58469,0
68,309630,210.75,0.25419,49.25,50.0,0.0271,5.25,16.84029,17.5,63157.75,40350.75,0.00633,216.6635,0
69,309631,237.75,0.29742,63.5,63.25,0.04801,10.25,28.21939,15.25,92545.5,62203.25,0.0047,174.41099,0
70,322348,571.5,0.22759,115.5,200.75,0.033,16.75,47.15727,54.5,51843.5,33879.5,0.02226,139.3877,0
71,346621,409.75,0.14089,51.25,107.25,0.04467,16.25,37.52092,55.0,70368.25,40645.75,0.01263,286.20946,0
72,356024,235.5,0.20495,45.5,62.25,0.02365,5.25,11.14069,24.75,25608.75,13016.0,0.02234,830.7794,0
73,356060,236.75,0.13988,28.5,142.0,0.02331,4.75,12.52918,50.75,20306.75,9860.25,0.03808,366.91223,0
74,356062,212.25,0.16927,32.5,120.25,0.06771,13.0,27.00753,69.75,34705.75,20926.75,0.01573,680.51287,0
75,356063,184.5,0.24704,41.75,45.0,0.02219,3.75,8.44194,14.0,41066.5,21125.5,0.01065,0.0,0
